Player,Pos,Squad,Age,Born,MP,Minutes,90s,League
Pablo Hervías\Pablo-Hervias,DFMF,Valladolid,27,1993,27,1204,13.4,La Liga
Johan Mojica\Johan-Mojica,DF,Elche,27,1992,17,1204,13.4,La Liga
Quini\Quini,DF,Granada,30,1989,19,1191,13.2,La Liga
Pere Pons\Pere-Pons,MF,Alavés,27,1993,22,1186,13.2,La Liga
Étienne Capoue\Etienne-Capoue,MF,Villarreal,32,1988,16,1185,13.2,La Liga
Maranhão\Maranhao,FW,Valladolid,23,1996,23,1177,13.1,La Liga
Martin Braithwaite\Martin-Braithwaite,FW,Barcelona,29,1991,29,1175,13.1,La Liga
Roberto\Roberto,GK,Valladolid,34,1986,13,1170,13,La Liga
Pervis Estupiñán\Pervis-Estupinan,DF,Villarreal,22,1998,25,1168,13,La Liga
Juan Foyth\Juan-Foyth,DFMF,Villarreal,22,1998,16,1168,13,La Liga
Kike Pérez\Kike-Perez,MF,Valladolid,23,1997,24,1159,12.9,La Liga
Emiliano Rigoni\Emiliano-Rigoni,MFFW,Elche,27,1993,23,1139,12.7,La Liga
Rober Correa\Rober-Correa,DF,Eibar,27,1992,15,1136,12.6,La Liga
Rafa Soares\Rafa-Soares,DF,Eibar,25,1995,19,1134,12.6,La Liga
Éder Militão\Eder-Militao,DF,Real Madrid,22,1998,14,1133,12.6,La Liga
Renan Lodi\Renan-Lodi,DF,Atlético Madrid,22,1998,23,1129,12.5,La Liga
Shinji Okazaki\Shinji-Okazaki,FWMF,Huesca,34,1986,25,1128,12.5,La Liga
Manu García\Manu-Garcia,MF,Alavés,34,1986,25,1124,12.5,La Liga
Yoshinori Mutō\Yoshinori-Muto,FWMF,Eibar,28,1992,26,1122,12.5,La Liga
Nemanja Radoja\Nemanja-Radoja,MF,Levante,27,1993,21,1121,12.5,La Liga
Borja García\Borja-Garcia,MFFW,Huesca,29,1990,21,1117,12.4,La Liga
Rubén Peña\Ruben-Pena,DFMF,Villarreal,29,1991,19,1116,12.4,La Liga
Rubén Sobrino\Ruben-Sobrino,FWMF,Cádiz,28,1992,16,1113,12.4,La Liga
Esteban Burgos\Esteban-Burgos,DF,Eibar,28,1992,14,1111,12.3,La Liga
