Player,Pos,Squad,Age,Born,MP,Minutes,90s,League
Matteo Ruggeri\Matteo-Ruggeri,DF,Atalanta,18,2002,6,208,2.3,Serie A
Kévin Malcuit\Kevin-Malcuit,DF,Fiorentina,29,1991,5,207,2.3,Serie A
Federico Peluso\Federico-Peluso,DF,Sassuolo,36,1984,7,207,2.3,Serie A
Rafael\Rafael,GK,Spezia,38,1982,3,207,2.3,Serie A
Alberto Paleari\Alberto-Paleari,GK,Genoa,27,1992,3,206,2.3,Serie A
Kevin Rüegg\Kevin-Ruegg,DFMF,Hellas Verona,21,1998,7,205,2.3,Serie A
Patrick Cutrone\Patrick-Cutrone,FWMF,Fiorentina,22,1998,11,196,2.2,Serie A
Fabio Depaoli\Fabio-Depaoli,DF,Atalanta,23,1997,5,191,2.1,Serie A
Jacopo Segre\Jacopo-Segre,MF,Torino,23,1997,9,191,2.1,Serie A
Mamadou Coulibaly\Mamadou-Coulibaly,MF,Udinese,21,1999,3,184,2,Serie A
Fabrizio Caligara\Fabrizio-Caligara,MF,Cagliari,20,2000,10,183,2,Serie A
Jerome Onguene\Jerome-Onguene,DF,Genoa,22,1997,4,181,2,Serie A
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,32,1988,2,180,2,Serie A
Simone Colombi\Simone-Colombi,GK,Parma,29,1991,2,180,2,Serie A
Denis Drăguș\Denis-Dragus,FWMF,Crotone,21,1999,9,177,2,Serie A
Ernesto Torregrossa\Ernesto-Torregrossa,FW,Sampdoria,28,1992,6,170,1.9,Serie A
Iyenoma Udogie\Iyenoma-Udogie,DFMF,Hellas Verona,17,2002,6,170,1.9,Serie A
Andrea Pinamonti\Andrea-Pinamonti,FW,Inter,21,1999,8,169,1.9,Serie A
Botond Balogh\Botond-Balogh,DF,Parma,18,2002,3,165,1.8,Serie A
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,27,1993,4,162,1.8,Serie A
Juan Jesus\Juan-Jesus,DF,Roma,29,1991,5,157,1.7,Serie A
Stanislav Lobotka\Stanislav-Lobotka,MF,Napoli,25,1994,15,154,1.7,Serie A
Matteo Scozzarella\Matteo-Scozzarella,MF,Parma,32,1988,3,153,1.7,Serie A
Ionuț Radu\Ionut-Radu,GK,Inter,23,1997,2,135,1.5,Serie A
Álex Berenguer\Alex-Berenguer,MF,Torino,25,1995,2,131,1.5,Serie A
Federico Bonazzoli\Federico-Bonazzoli,FW,Sampdoria,23,1997,2,131,1.5,Serie A
Christian Pastina\Christian-Pastina,DF,Benevento,19,2001,3,121,1.3,Serie A
Jayden Braaf\Jayden-Braaf,FW,Udinese,17,2002,4,116,1.3,Serie A
Stefano Denswil\Stefano-Denswil,DF,Bologna,27,1993,5,115,1.3,Serie A
Luca Mora\Luca-Mora,MFFW,Spezia,32,1988,4,113,1.3,Serie A
Joshua Zirkzee\Joshua-Zirkzee,FWMF,Parma,19,2001,4,113,1.3,Serie A
Mattia Caldara\Mattia-Caldara,DF,Atalanta,26,1994,6,111,1.2,Serie A
Andrea Danzi\Andrea-Danzi,MFDF,Hellas Verona,21,1999,2,104,1.2,Serie A
Luis Rojas\Luis-Rojas,MFFW,Crotone,18,2002,7,104,1.2,Serie A
Kastriot Dermaku\Kastriot-Dermaku,DF,Parma,28,1992,2,100,1.1,Serie A
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,19,2001,6,95,1.1,Serie A
Lorenzo Colombo\Lorenzo-Colombo,FW,Milan,18,2002,4,94,1,Serie A
Aleksandr Kokorin\Aleksandr-Kokorin,FWMF,Fiorentina,29,1991,4,94,1,Serie A
Maximiliano Olivera\Maximiliano-Olivera,DF,Fiorentina,28,1992,2,91,1,Serie A
Elio Capradossi\Elio-Capradossi,DF,Spezia,24,1996,1,90,1,Serie A
Gian Crespi\Gian-Crespi,GK,Crotone,19,2001,1,90,1,Serie A
Marco Festa\Marco-Festa,GK,Crotone,28,1992,1,90,1,Serie A
Márk Kosznovszky\Mark-Kosznovszky,MF,Parma,18,2002,1,90,1,Serie A
Karlo Letica\Karlo-Letica,GK,Sampdoria,23,1997,1,90,1,Serie A
Niccolò Manfredini\Niccolo-Manfredini,GK,Benevento,32,1988,1,90,1,Serie A
Gianluca Pegolo\Gianluca-Pegolo,GK,Sassuolo,39,1981,1,90,1,Serie A
Simone Scuffet\Simone-Scuffet,GK,Udinese,24,1996,1,90,1,Serie A
Ciprian Tătărușanu\Ciprian-Tatarusanu,GK,Milan,34,1986,1,90,1,Serie A
Samir Ujkani\Samir-Ujkani,GK,Torino,32,1988,1,90,1,Serie A
Vasco Regini\Vasco-Regini,DF,Sampdoria,29,1990,3,88,1,Serie A
Antonio Barreca\Antonio-Barreca,DF,Fiorentina,25,1995,3,85,0.9,Serie A
Javier Pastore\Javier-Pastore,FWMF,Roma,31,1989,5,82,0.9,Serie A
Jacopo Dezi\Jacopo-Dezi,FWMF,Parma,28,1992,2,79,0.9,Serie A
Fabio Depaoli\Fabio-Depaoli,MF,Sampdoria,23,1997,2,77,0.9,Serie A
Mattéo Tramoni\Matteo-Tramoni,FWMF,Cagliari,20,2000,6,74,0.8,Serie A
Djavan Anderson\Djavan-Anderson,DF,Lazio,25,1995,3,72,0.8,Serie A
Manolo Portanova\Manolo-Portanova,FWMF,Juventus,20,2000,2,70,0.8,Serie A
Giacomo Ricci\Giacomo-Ricci,DF,Parma,23,1996,3,67,0.7,Serie A
Riccardo Calafiori\Riccardo-Calafiori,DF,Roma,18,2002,3,66,0.7,Serie A
Manolo Portanova\Manolo-Portanova,DFMF,Genoa,20,2000,3,66,0.7,Serie A
Vasilios Zagaritis\Vasilios-Zagaritis,DF,Parma,19,2001,2,65,0.7,Serie A
Bastos\Bastos,DF,Lazio,29,1991,2,63,0.7,Serie A
Martin Palumbo\Martin-Palumbo,MF,Udinese,18,2002,3,63,0.7,Serie A
Cristiano Piccini\Cristiano-Piccini,DF,Atalanta,27,1992,1,59,0.7,Serie A
Antonio Mazzotta\Antonio-Mazzotta,DF,Crotone,30,1989,2,56,0.6,Serie A
Vittorio Parigini\Vittorio-Parigini,FWDF,Genoa,24,1996,4,56,0.6,Serie A
Giuseppe Caso\Giuseppe-Caso,MF,Genoa,21,1998,2,54,0.6,Serie A
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,MF,Genoa,19,2001,3,52,0.6,Serie A
Simone Edera\Simone-Edera,DFMF,Torino,23,1997,2,52,0.6,Serie A
Fernando Llorente\Fernando-Llorente,FWMF,Napoli,35,1985,3,52,0.6,Serie A
Riccardo Saponara\Riccardo-Saponara,FWMF,Fiorentina,28,1991,2,52,0.6,Serie A
Ľubomír Tupta\Lubomir-Tupta,MF,Hellas Verona,22,1998,2,50,0.6,Serie A
Luca Siligardi\Luca-Siligardi,MF,Crotone,32,1988,4,49,0.5,Serie A
Musa Juwara\Musa-Juwara,DF,Bologna,18,2001,5,46,0.5,Serie A
Radja Nainggolan\Radja-Nainggolan,MF,Inter,32,1988,4,46,0.5,Serie A
Yayah Kallon\Yayah-Kallon,FWMF,Genoa,19,2001,1,45,0.5,Serie A
Brain Oddei\Brain-Oddei,FWMF,Sassuolo,17,2002,5,45,0.5,Serie A
Daniele Padelli\Daniele-Padelli,GK,Inter,34,1985,1,45,0.5,Serie A
Douglas Costa\Douglas-Costa,MFFW,Juventus,29,1990,2,42,0.5,Serie A
Federico Santander\Federico-Santander,FW,Bologna,29,1991,4,37,0.4,Serie A
Federico Mattiello\Federico-Mattiello,DF,Spezia,25,1995,1,36,0.4,Serie A
Simone Rabbi\Simone-Rabbi,FW,Bologna,18,2001,4,35,0.4,Serie A
Mato Jajalo\Mato-Jajalo,MF,Udinese,32,1988,1,34,0.4,Serie A
Mateo Musacchio\Mateo-Musacchio,DF,Milan,29,1990,1,34,0.4,Serie A
Luca Siligardi\Luca-Siligardi,FWMF,Parma,32,1988,2,34,0.4,Serie A
Kévin Malcuit\Kevin-Malcuit,MFFW,Napoli,29,1991,2,33,0.4,Serie A
Augustus Kargbo\Augustus-Kargbo,FW,Crotone,20,1999,1,32,0.4,Serie A
Giuseppe Mastinu\Giuseppe-Mastinu,FWMF,Spezia,28,1991,3,32,0.4,Serie A
Denis Vavro\Denis-Vavro,DF,Lazio,24,1996,1,32,0.4,Serie A
Daniel Maldini\Daniel-Maldini,FWMF,Milan,18,2001,5,29,0.3,Serie A
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,29,1991,1,28,0.3,Serie A
Andrea Conti\Andrea-Conti,DF,Milan,26,1994,3,28,0.3,Serie A
Omar Khailoti\Omar-Khailoti,DF,Bologna,18,2001,1,28,0.3,Serie A
Giovanni Crociata\Giovanni-Crociata,MFDF,Crotone,22,1997,2,26,0.3,Serie A
Mattia De Sciglio\Mattia-De-Sciglio,DF,Juventus,27,1992,1,24,0.3,Serie A
Paolo Faragò\Paolo-Farago,DF,Bologna,27,1993,1,23,0.3,Serie A
Carlo Pinsoglio\Carlo-Pinsoglio,GK,Juventus,30,1990,1,23,0.3,Serie A
Mattia Sprocati\Mattia-Sprocati,FW,Parma,27,1993,1,22,0.2,Serie A
Nicolò Fagioli\Nicolo-Fagioli,MF,Juventus,19,2001,1,21,0.2,Serie A
Vincenzo Millico\Vincenzo-Millico,FWMF,Torino,19,2000,3,21,0.2,Serie A
Arturo Calabresi\Arturo-Calabresi,DF,Bologna,24,1996,1,20,0.2,Serie A
Léo Duarte\Leo-Duarte,DF,Milan,24,1996,1,19,0.2,Serie A
Tomislav Gomelt\Tomislav-Gomelt,MF,Crotone,25,1995,2,19,0.2,Serie A
Justin Kluivert\Justin-Kluivert,FWMF,Roma,21,1999,2,19,0.2,Serie A
Chaka Traorè\Chaka-Traore,FWMF,Parma,15,2004,3,18,0.2,Serie A
Drissa Camara\Drissa-Camara,MF,Parma,18,2002,1,15,0.2,Serie A
Petar Mićin\Petar-Micin,MF,Udinese,21,1998,1,15,0.2,Serie A
Nicolás Schiappacasse\Nicolas-Schiappacasse,MF,Sassuolo,21,1999,1,15,0.2,Serie A
Arturo Calabresi\Arturo-Calabresi,DF,Cagliari,24,1996,2,14,0.2,Serie A
Alessandro Di Pardo\Alessandro-Di-Pardo,MFDF,Juventus,21,1999,4,14,0.2,Serie A
Amad Diallo\Amad-Diallo,MF,Atalanta,18,2002,1,14,0.2,Serie A
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,17,2002,1,13,0.1,Serie A
Ryder Matos\Ryder-Matos,MF,Udinese,27,1993,1,13,0.1,Serie A
Mattia Pagliuca\Mattia-Pagliuca,MF,Bologna,18,2002,1,13,0.1,Serie A
Antonio Cioffi\Antonio-Cioffi,FW,Napoli,17,2002,1,12,0.1,Serie A
Edoardo Vergani\Edoardo-Vergani,FW,Bologna,19,2001,1,12,0.1,Serie A
Edoardo Bove\Edoardo-Bove,MF,Roma,18,2002,1,11,0.1,Serie A
Lorenzo Del Pinto\Lorenzo-Del-Pinto,MF,Benevento,30,1990,1,11,0.1,Serie A
Kiril Despodov\Kiril-Despodov,FW,Cagliari,23,1996,1,11,0.1,Serie A
Raúl Moro\Raul-Moro,MF,Lazio,17,2002,1,11,0.1,Serie A
Nicola Zalewski\Nicola-Zalewski,MF,Roma,18,2002,1,11,0.1,Serie A
Andrea Adorante\Andrea-Adorante,FW,Parma,20,2000,1,10,0.1,Serie A
Siriki Sanogo\Siriki-Sanogo,MF,Benevento,18,2001,1,10,0.1,Serie A
Félix Correia\Felix-Correia,MF,Juventus,19,2001,1,7,0.1,Serie A
Antonio Palumbo\Antonio-Palumbo,MF,Sampdoria,23,1996,1,7,0.1,Serie A
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,19,2001,1,5,0.1,Serie A
Nicolò Armini\Nicolo-Armini,DF,Lazio,19,2001,1,5,0.1,Serie A
Marco Bertini\Marco-Bertini,MF,Lazio,17,2002,1,5,0.1,Serie A
Viktor Kovalenko\Viktor-Kovalenko,FW,Atalanta,24,1996,1,4,0,Serie A
Cristóbal Montiel\Cristobal-Montiel,DFFW,Fiorentina,20,2000,2,4,0,Serie A
Federico Ricci\Federico-Ricci,FW,Sassuolo,26,1994,1,4,0,Serie A
Amadou Diambo\Amadou-Diambo,FW,Benevento,19,2001,1,3,0,Serie A
Manuel Gasparini\Manuel-Gasparini,GK,Udinese,18,2002,1,3,0,Serie A
Wisdom Amey\Wisdom-Amey,DF,Bologna,14,2005,1,2,0,Serie A
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,MF,Atalanta,18,2001,1,2,0,Serie A
Kacper Urbanski\Kacper-Urbanski,MF,Bologna,15,2004,1,2,0,Serie A
Radu Drăgușin\Radu-Dragusin,DF,Juventus,18,2002,1,1,0,Serie A
Isaac Karamoko\Isaac-Karamoko,DF,Sassuolo,18,2002,1,1,0,Serie A
Antonio Raimondo\Antonio-Raimondo,FW,Bologna,16,2004,1,1,0,Serie A
Giacomo Vrioni\Giacomo-Vrioni,MF,Juventus,21,1998,1,1,0,Serie A
Thibaut Courtois\Thibaut-Courtois,GK,Real Madrid,28,1992,38,3420,38,La Liga
Jan Oblak\Jan-Oblak,GK,Atlético Madrid,27,1993,38,3420,38,La Liga
Álex Remiro\Alex-Remiro,GK,Real Sociedad,25,1995,38,3420,38,La Liga
Fernando Pacheco\Fernando-Pacheco,GK,Alavés,28,1992,38,3349,37.2,La Liga
Unai Simón\Unai-Simon,GK,Athletic Club,23,1997,37,3330,37,La Liga
Marc Cucurella\Marc-Cucurella,MF,Getafe,22,1998,37,3244,36,La Liga
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,31,1989,36,3240,36,La Liga
Frenkie de Jong\Frenkie-de-Jong,MFDF,Barcelona,23,1997,37,3154,35,La Liga
David García\David-Garcia,DF,Osasuna,26,1994,35,3150,35,La Liga
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,28,1992,35,3120,34.7,La Liga
Raúl Albiol\Raul-Albiol,DF,Villarreal,34,1985,35,3115,34.6,La Liga
Daniel Parejo\Daniel-Parejo,MF,Villarreal,31,1989,36,3112,34.6,La Liga
Kike\Kike,FW,Eibar,30,1989,37,3087,34.3,La Liga
Dimitris Siovas\Dimitris-Siovas,DF,Huesca,31,1988,36,3071,34.1,La Liga
Javi Galán\Javi-Galan,DF,Huesca,25,1994,37,3065,34.1,La Liga
Joselu\Joselu,FW,Alavés,30,1990,37,3026,33.6,La Liga
Jordi Alba\Jordi-Alba,DF,Barcelona,31,1989,35,3025,33.6,La Liga
Lionel Messi\Lionel-Messi,FWMF,Barcelona,33,1987,35,3023,33.6,La Liga
Koke\Koke,MF,Atlético Madrid,28,1992,37,3021,33.6,La Liga
Florian Lejeune\Florian-Lejeune,DF,Alavés,29,1991,34,3015,33.5,La Liga
Emerson\Emerson,DF,Betis,21,1999,34,2991,33.2,La Liga
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,24,1995,34,2983,33.1,La Liga
Daniel Wass\Daniel-Wass,MFDF,Valencia,31,1989,35,2979,33.1,La Liga
Jules Koundé\Jules-Kounde,DF,Sevilla,21,1998,34,2975,33.1,La Liga
Yassine Bounou\Yassine-Bounou,GK,Sevilla,29,1991,33,2970,33,La Liga
Pau Torres\Pau-Torres,DF,Villarreal,23,1997,33,2970,33,La Liga
Sergio Herrera\Sergio-Herrera,GK,Osasuna,27,1993,33,2958,32.9,La Liga
Marcos Llorente\Marcos-Llorente,MFDF,Atlético Madrid,25,1995,37,2956,32.8,La Liga
Stefan Savić\Stefan-Savic,DF,Atlético Madrid,29,1991,33,2953,32.8,La Liga
Gonzalo Verdú\Gonzalo-Verdu,DF,Elche,31,1988,33,2944,32.7,La Liga
Djené\Djene,DF,Getafe,28,1991,34,2941,32.7,La Liga
Casemiro\Casemiro,MF,Real Madrid,28,1992,34,2901,32.2,La Liga
Karim Benzema\Karim-Benzema,FW,Real Madrid,32,1987,34,2894,32.2,La Liga
Jorge Pulido\Jorge-Pulido,DF,Huesca,29,1991,33,2885,32.1,La Liga
Jeremías Ledesma\Jeremias-Ledesma,GK,Cádiz,27,1993,32,2880,32,La Liga
Rui Silva\Rui-Silva,GK,Granada,26,1994,32,2880,32,La Liga
Rafa Mir\Rafa-Mir,FW,Huesca,23,1997,38,2877,32,La Liga
Iago Aspas\Iago-Aspas,FW,Celta Vigo,32,1987,33,2864,31.8,La Liga
Guido Rodríguez\Guido-Rodriguez,MF,Betis,26,1994,35,2864,31.8,La Liga
Raúl Guti\Raul-Guti,MF,Elche,23,1996,36,2862,31.8,La Liga
Denis Suárez\Denis-Suarez,MF,Celta Vigo,26,1994,35,2852,31.7,La Liga
José Luis Gayà\Jose-Luis-Gaya,DF,Valencia,25,1995,33,2846,31.6,La Liga
Jesús Navas\Jesus-Navas,DF,Sevilla,34,1985,34,2827,31.4,La Liga
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,33,1987,34,2807,31.2,La Liga
Marc-André ter Stegen\Marc-Andre-ter-Stegen,GK,Barcelona,28,1992,31,2790,31,La Liga
Diego Carlos\Diego-Carlos,DF,Sevilla,27,1993,33,2788,31,La Liga
Carlos Clerc\Carlos-Clerc,DF,Levante,28,1992,35,2781,30.9,La Liga
Robin Le Normand\Robin-Le-Normand,DF,Real Sociedad,23,1996,33,2747,30.5,La Liga
Carlos Soler\Carlos-Soler,MF,Valencia,23,1997,32,2735,30.4,La Liga
Luka Modrić\Luka-Modric,MF,Real Madrid,34,1985,35,2733,30.4,La Liga
Nemanja Maksimović\Nemanja-Maksimovic,MF,Getafe,25,1995,35,2728,30.3,La Liga
Rubén García\Ruben-Garcia,MFFW,Osasuna,27,1993,37,2718,30.2,La Liga
Gabriel Paulista\Gabriel-Paulista,DF,Valencia,29,1990,31,2716,30.2,La Liga
Raphaël Varane\Raphael-Varane,DF,Real Madrid,27,1993,31,2715,30.2,La Liga
Renato Tapia\Renato-Tapia,MF,Celta Vigo,25,1995,32,2701,30,La Liga
Édgar Badía\Edgar-Badia,GK,Elche,28,1992,30,2700,30,La Liga
Jeison Murillo\Jeison-Murillo,DF,Celta Vigo,28,1992,31,2699,30,La Liga
Lucas Boyé\Lucas-Boye,FW,Elche,24,1996,34,2694,29.9,La Liga
Maxi Gómez\Maxi-Gomez,FW,Valencia,23,1996,31,2689,29.9,La Liga
Gerard Moreno\Gerard-Moreno,FWMF,Villarreal,28,1992,33,2673,29.7,La Liga
Brais Méndez\Brais-Mendez,MFFW,Celta Vigo,23,1997,34,2671,29.7,La Liga
Dimitri Foulquier\Dimitri-Foulquier,DF,Granada,27,1993,32,2663,29.6,La Liga
Jon Moncayola\Jon-Moncayola,MF,Osasuna,22,1998,36,2660,29.6,La Liga
Iván Marcone\Ivan-Marcone,MF,Elche,30,1990,33,2645,29.4,La Liga
Paulo Oliveira\Paulo-Oliveira,DF,Eibar,28,1992,31,2641,29.3,La Liga
Germán Sánchez\German-Sanchez,DF,Granada,33,1986,34,2638,29.3,La Liga
Fali\Fali,DFMF,Cádiz,26,1993,34,2637,29.3,La Liga
Víctor Laguardia\Victor-Laguardia,DF,Alavés,30,1989,32,2631,29.2,La Liga
Lucas Ocampos\Lucas-Ocampos,FW,Sevilla,26,1994,34,2631,29.2,La Liga
Nabil Fekir\Nabil-Fekir,MFFW,Betis,27,1993,33,2622,29.1,La Liga
Jens Jønsson\Jens-Jonsson,MF,Cádiz,27,1993,35,2615,29.1,La Liga
Mathías Olivera\Mathias-Olivera,DF,Getafe,22,1997,31,2614,29,La Liga
Aitor Fernández\Aitor-Fernandez,GK,Levante,29,1991,29,2610,29,La Liga
Antoine Griezmann\Antoine-Griezmann,FWMF,Barcelona,29,1991,36,2604,28.9,La Liga
Hugo Mallo\Hugo-Mallo,DF,Celta Vigo,29,1991,31,2602,28.9,La Liga
Alfonso Espino\Alfonso-Espino,DF,Cádiz,28,1992,32,2601,28.9,La Liga
Nolito\Nolito,MFFW,Celta Vigo,33,1986,36,2597,28.9,La Liga
Isaac Carcelen\Isaac-Carcelen,DF,Cádiz,27,1993,32,2581,28.7,La Liga
Mario Hermoso\Mario-Hermoso,DF,Atlético Madrid,25,1995,31,2578,28.6,La Liga
Tomás Pina Isla\Tomas-Pina-Isla,MF,Alavés,32,1987,33,2575,28.6,La Liga
Moi Gómez\Moi-Gomez,MFFW,Villarreal,26,1994,35,2563,28.5,La Liga
Fernando\Fernando,MF,Sevilla,33,1987,31,2546,28.3,La Liga
Rubén Duarte\Ruben-Duarte,DF,Alavés,24,1995,31,2545,28.3,La Liga
David Ferreiro\David-Ferreiro,MFFW,Huesca,32,1988,37,2527,28.1,La Liga
Manu Trigueros\Manu-Trigueros,MF,Villarreal,28,1991,35,2527,28.1,La Liga
Jaume Doménech\Jaume-Domenech,GK,Valencia,29,1990,28,2520,28,La Liga
David Soria\David-Soria,GK,Getafe,27,1993,28,2520,28,La Liga
Iñigo Martínez\Inigo-Martinez,DF,Athletic Club,29,1991,28,2519,28,La Liga
Sergio Busquets\Sergio-Busquets,MF,Barcelona,32,1988,36,2517,28,La Liga
Óscar Plano\Oscar-Plano,MFFW,Valladolid,29,1991,36,2517,28,La Liga
Luis Suárez\Luis-Suarez,FW,Atlético Madrid,33,1987,32,2508,27.9,La Liga
Sergio Canales\Sergio-Canales,MFFW,Betis,29,1991,31,2498,27.8,La Liga
Rodrigo Battaglia\Rodrigo-Battaglia,MF,Alavés,29,1991,32,2492,27.7,La Liga
Clément Lenglet\Clement-Lenglet,DF,Barcelona,25,1995,33,2475,27.5,La Liga
Kieran Trippier\Kieran-Trippier,DF,Atlético Madrid,29,1990,28,2475,27.5,La Liga
Edu Expósito\Edu-Exposito,MF,Eibar,23,1996,31,2455,27.3,La Liga
José Luis Morales\Jose-Luis-Morales,FWMF,Levante,33,1987,38,2439,27.1,La Liga
Damián Suárez\Damian-Suarez,DF,Getafe,32,1988,31,2434,27,La Liga
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,28,1991,33,2426,27,La Liga
Pedri\Pedri,MF,Barcelona,17,2002,37,2415,26.8,La Liga
Santi Mina\Santi-Mina,FW,Celta Vigo,24,1995,34,2412,26.8,La Liga
Mikel Oyarzabal\Mikel-Oyarzabal,FWMF,Real Sociedad,23,1997,33,2408,26.8,La Liga
Joan Jordán\Joan-Jordan,MF,Sevilla,26,1994,35,2406,26.7,La Liga
Fidel\Fidel,MFDF,Elche,30,1989,30,2396,26.6,La Liga
Ángel Correa\Angel-Correa,FWMF,Atlético Madrid,25,1995,38,2393,26.6,La Liga
Aïssa Mandi\Aissa-Mandi,DF,Betis,28,1991,28,2392,26.6,La Liga
Iñaki Williams\Inaki-Williams,FW,Athletic Club,26,1994,38,2387,26.5,La Liga
Andoni Gorosabel\Andoni-Gorosabel,DF,Real Sociedad,23,1996,32,2382,26.5,La Liga
Ximo Navarro\Ximo-Navarro,DF,Alavés,30,1990,31,2375,26.4,La Liga
Domingos Duarte\Domingos-Duarte,DF,Granada,25,1995,29,2363,26.3,La Liga
Nacho Vidal\Nacho-Vidal,DF,Osasuna,25,1995,34,2348,26.1,La Liga
Alexander Isak\Alexander-Isak,FW,Real Sociedad,20,1999,34,2340,26,La Liga
Mickael Malsa\Mickael-Malsa,MF,Levante,24,1995,35,2338,26,La Liga
Marcos Acuña\Marcos-Acuna,DF,Sevilla,28,1991,30,2330,25.9,La Liga
Papakouli Diop\Papakouli-Diop,MF,Eibar,34,1986,33,2324,25.8,La Liga
Allan Nyom\Allan-Nyom,MFDF,Getafe,32,1988,31,2323,25.8,La Liga
Rúben Vezo\Ruben-Vezo,DF,Levante,26,1994,32,2316,25.7,La Liga
Youssef En-Nesyri\Youssef-En-Nesyri,FW,Sevilla,23,1997,38,2311,25.7,La Liga
Yangel Herrera\Yangel-Herrera,MF,Granada,22,1998,32,2310,25.7,La Liga
Gonçalo Guedes\Goncalo-Guedes,MFFW,Valencia,23,1996,31,2287,25.4,La Liga
Álex Berenguer\Alex-Berenguer,MFFW,Athletic Club,25,1995,35,2278,25.3,La Liga
Cala\Cala,DF,Cádiz,30,1989,28,2272,25.2,La Liga
Bryan\Bryan,MFFW,Eibar,19,2001,28,2265,25.2,La Liga
Bruno González\Bruno-Gonzalez,DF,Valladolid,30,1990,27,2263,25.1,La Liga
Jordi Masip\Jordi-Masip,GK,Valladolid,31,1989,25,2250,25,La Liga
Antonio Barragán\Antonio-Barragan,DF,Elche,33,1987,27,2235,24.8,La Liga
Ivan Rakitić\Ivan-Rakitic,MF,Sevilla,32,1988,37,2233,24.8,La Liga
Suso\Suso,FW,Sevilla,26,1993,34,2210,24.6,La Liga
Ferland Mendy\Ferland-Mendy,DF,Real Madrid,25,1995,26,2208,24.5,La Liga
Roger Martí\Roger-Marti,FW,Levante,29,1991,33,2198,24.4,La Liga
Álvaro Negredo\Alvaro-Negredo,FW,Cádiz,34,1985,35,2198,24.4,La Liga
Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,DFMF,Eibar,21,1999,30,2190,24.3,La Liga
Uroš Račić\Uros-Racic,MF,Valencia,22,1998,31,2187,24.3,La Liga
Jorge de Frutos\Jorge-de-Frutos,MFFW,Levante,23,1997,37,2186,24.3,La Liga
Portu\Portu,FWMF,Real Sociedad,28,1992,37,2184,24.3,La Liga
Mikel Rico\Mikel-Rico,MF,Huesca,35,1984,32,2183,24.3,La Liga
Yannick Carrasco\Yannick-Carrasco,DFMF,Atlético Madrid,26,1993,30,2179,24.2,La Liga
Antonio Puertas\Antonio-Puertas,FWMF,Granada,28,1992,35,2170,24.1,La Liga
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,29,1991,30,2165,24.1,La Liga
Víctor Ruiz\Victor-Ruiz,DF,Betis,31,1989,27,2157,24,La Liga
Mikel Merino\Mikel-Merino,MF,Real Sociedad,24,1996,26,2154,23.9,La Liga
Fabián Orellana\Fabian-Orellana,MFFW,Valladolid,34,1986,30,2138,23.8,La Liga
Thierry Correia\Thierry-Correia,DF,Valencia,21,1999,29,2137,23.7,La Liga
Shon Weissman\Shon-Weissman,FW,Valladolid,24,1996,32,2133,23.7,La Liga
Ander Capa\Ander-Capa,DF,Athletic Club,28,1992,28,2131,23.7,La Liga
Toni Kroos\Toni-Kroos,MF,Real Madrid,30,1990,28,2117,23.5,La Liga
Unai Núñez\Unai-Nunez,DF,Athletic Club,23,1997,25,2109,23.4,La Liga
Alfonso Pedraza\Alfonso-Pedraza,DF,Villarreal,24,1996,29,2093,23.3,La Liga
Édgar Méndez\Edgar-Mendez,MFFW,Alavés,30,1990,33,2090,23.2,La Liga
Luis Rioja\Luis-Rioja,MFDF,Alavés,26,1993,35,2090,23.2,La Liga
Oier Sanjurjo\Oier-Sanjurjo,MF,Osasuna,34,1986,32,2084,23.2,La Liga
Nacho Monreal\Nacho-Monreal,DF,Real Sociedad,34,1986,26,2082,23.1,La Liga
Ander Guevara\Ander-Guevara,MF,Real Sociedad,23,1997,31,2081,23.1,La Liga
Mouctar Diakhaby\Mouctar-Diakhaby,DF,Valencia,23,1996,26,2079,23.1,La Liga
Joaquín Fernández\Joaquin-Fernandez,DF,Valladolid,24,1996,25,2073,23,La Liga
Jaime Seoane\Jaime-Seoane,MF,Huesca,23,1997,29,2064,22.9,La Liga
Óscar Duarte\Oscar-Duarte,DF,Levante,31,1989,29,2060,22.9,La Liga
Felipe\Felipe,DF,Atlético Madrid,31,1989,31,2057,22.9,La Liga
Pedro Mosquera\Pedro-Mosquera,MF,Huesca,32,1988,27,2050,22.8,La Liga
Jaime Mata\Jaime-Mata,FW,Getafe,31,1988,33,2037,22.6,La Liga
Saúl Ñíguez\Saul-Niguez,MFDF,Atlético Madrid,25,1994,33,2033,22.6,La Liga
