,,,,,,Play,Play,Play,Play
Player,Nation,Pos,Squad,Age,Born,MP,Min▼,90s,Starts
Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,23,1996,28,2287,25.4,26
Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,23,1996,27,2286,25.4,27
Joël Veltman\Joel-Veltman,nl NED,DF,Brighton,28,1992,28,2281,25.3,25
Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,19,2000,28,2262,25.1,27
Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,29,1991,34,2258,25.1,25
Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,30,1989,26,2256,25.1,25
Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,30,1989,36,2253,25.0,24
Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,2250,25.0,25
Harrison Reed\Harrison-Reed,eng ENG,MF,Fulham,25,1995,31,2247,25.0,26
Sergio Reguilón\Sergio-Reguilon,es ESP,DF,Tottenham,23,1996,27,2244,24.9,26
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31,1989,25,2240,24.9,25
Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,27,1993,25,2234,24.8,25
Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,29,1991,32,2220,24.7,26
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,30,1989,26,2188,24.3,24
Liam Cooper\Liam-Cooper,sct SCO,DF,Leeds United,28,1991,25,2185,24.3,25
Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,24,1995,26,2185,24.3,24
Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MFDF,Leicester City,23,1996,26,2176,24.2,25
Danny Ings\Danny-Ings,eng ENG,FW,Southampton,28,1992,29,2173,24.1,26
Antonee Robinson\Antonee-Robinson,us USA,DF,Fulham,22,1997,28,2162,24.0,24
N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,29,1991,30,2146,23.8,24
Scott McTominay\Scott-McTominay,sct SCO,MF,Manchester Utd,23,1996,32,2129,23.7,24
Dara O'Shea\Dara-OShea,ie IRL,DF,West Brom,21,1999,28,2102,23.4,25
James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,23,1996,31,2099,23.3,24
Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,28,1991,33,2096,23.3,23
Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,23,1996,33,2091,23.2,28
Ethan Ampadu\Ethan-Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,25,2089,23.2,23
Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25,1995,25,2089,23.2,24
Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,28,1992,26,2084,23.2,23
Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,31,1989,24,2079,23.1,24
Pascal Struijk\Pascal-Struijk,nl NED,DFMF,Leeds United,20,1999,27,2075,23.1,22
James Justin\James-Justin,eng ENG,DF,Leicester City,22,1998,23,2070,23.0,23
Bernardo Silva\Bernardo-Silva,pt POR,MFFW,Manchester City,25,1994,26,2065,22.9,24
Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,23,1997,29,2063,22.9,22
Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28,1992,27,2061,22.9,23
Allan\Allan,br BRA,MF,Everton,29,1991,24,2051,22.8,23
John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,26,1994,28,2032,22.6,23
İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,29,1990,28,2029,22.5,23
Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,25,1994,24,2029,22.5,22
Jorginho\Jorginho,it ITA,MF,Chelsea,28,1991,28,2010,22.3,23
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29,1991,25,1997,22.2,23
Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,22,1997,23,1996,22.2,22
Joelinton\Joelinton,br BRA,FWMF,Newcastle Utd,23,1996,31,1983,22.0,23
Michail Antonio\Michail-Antonio,jm JAM,FW,West Ham,30,1990,26,1974,21.9,24
Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,29,1991,27,1949,21.7,23
Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,30,1990,24,1946,21.6,22
Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,22,1997,25,1945,21.6,22
Isaac Hayden\Isaac-Hayden,eng ENG,MFDF,Newcastle Utd,25,1995,24,1942,21.6,22
Yerry Mina\Yerry-Mina,co COL,DF,Everton,25,1994,24,1937,21.5,23
Thiago Silva\Thiago-Silva,br BRA,DF,Chelsea,35,1984,23,1935,21.5,23
John Stones\John-Stones,eng ENG,DF,Manchester City,26,1994,22,1933,21.5,22
Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30,1990,22,1925,21.4,22
Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,29,1991,31,1923,21.4,22
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Fulham,24,1996,30,1909,21.2,21
Paul Pogba\Paul-Pogba,fr FRA,MFFW,Manchester Utd,27,1993,26,1897,21.1,21
Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,30,1989,22,1891,21.0,21
Willy Boly\Willy-Boly,ci CIV,DF,Wolves,29,1991,21,1879,20.9,21
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29,1991,24,1854,20.6,20
Jamal Lewis\Jamal-Lewis,nir NIR,DF,Newcastle Utd,22,1998,24,1837,20.4,20
Matt Phillips\Matt-Phillips,sct SCO,MFFW,West Brom,29,1991,33,1828,20.3,20
Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,18,2001,31,1822,20.2,21
Jaïro Riedewald\Jairo-Riedewald,nl NED,MF,Crystal Palace,23,1996,33,1820,20.2,19
Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,24,1996,23,1819,20.2,19
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,29,1990,30,1816,20.2,21
Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,26,1994,27,1815,20.2,21
Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,34,1985,20,1800,20.0,20
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,29,1990,22,1777,19.7,20
James Rodríguez\James-Rodriguez,co COL,FWMF,Everton,29,1991,23,1764,19.6,21
Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,28,1991,21,1763,19.6,20
Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,30,1989,31,1746,19.4,17
Christian Pulisic\Christian-Pulisic,us USA,FWMF,Chelsea,21,1998,27,1738,19.3,18
Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,26,1994,29,1738,19.3,17
Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,20,1999,19,1710,19.0,19
Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,27,1993,19,1710,19.0,19
Jordan Henderson\Jordan-Henderson,eng ENG,MFDF,Liverpool,30,1990,21,1704,18.9,20
Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,26,1993,28,1703,18.9,19
Solly March\Solly-March,eng ENG,DF,Brighton,26,1994,21,1672,18.6,19
Daniel Podence\Daniel-Podence,pt POR,MFFW,Wolves,24,1995,24,1661,18.5,22
Jacob Murphy\Jacob-Murphy,eng ENG,DFMF,Newcastle Utd,25,1995,26,1626,18.1,17
Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,26,1993,19,1625,18.1,19
Theo Walcott\Theo-Walcott,eng ENG,MFFW,Southampton,31,1989,21,1618,18.0,20
Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,20,2000,28,1616,18.0,17
Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,25,1995,29,1616,18.0,16
Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,23,1996,25,1615,17.9,17
Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,31,1988,25,1613,17.9,18
Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FW,Aston Villa,25,1995,28,1613,17.9,17
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,27,1992,19,1605,17.8,19
Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,25,1994,24,1604,17.8,17
Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,32,1988,30,1596,17.7,16
Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,30,1989,25,1585,17.6,15
André Gomes\Andre-Gomes,pt POR,MF,Everton,27,1993,28,1570,17.4,17
Callum Robinson\Callum-Robinson,ie IRL,FWMF,West Brom,25,1995,28,1560,17.3,20
Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,23,1997,25,1560,17.3,19
Danny Welbeck\Danny-Welbeck,eng ENG,FW,Brighton,29,1990,24,1545,17.2,17
Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,28,1992,23,1544,17.2,17
Alex Iwobi\Alex-Iwobi,ng NGA,FWDF,Everton,24,1996,30,1542,17.1,17
Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,26,1994,18,1537,17.1,17
Thomas Partey\Thomas-Partey,gh GHA,MF,Arsenal,27,1993,24,1534,17.0,18
Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,26,1993,24,1531,17.0,18
Kai Havertz\Kai-Havertz,de GER,MFFW,Chelsea,21,1999,27,1520,16.9,18
Romaine Sawyers\Romaine-Sawyers,kn SKN,MF,West Brom,28,1991,19,1487,16.5,17
Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,24,1996,18,1486,16.5,17
Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,24,1995,22,1481,16.5,18
Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,24,1995,22,1480,16.4,17
Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,23,1996,20,1478,16.4,15
James McArthur\James-McArthur,sct SCO,MF,Crystal Palace,32,1987,18,1466,16.3,17
Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,23,1996,25,1459,16.2,16
Nampalys Mendy\Nampalys-Mendy,sn SEN,MF,Leicester City,28,1992,23,1459,16.2,15
Nathaniel Phillips\Nathaniel-Phillips,eng ENG,DF,Liverpool,23,1997,17,1456,16.2,15
Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MFFW,Arsenal,20,2000,20,1440,16.0,18
Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MF,Crystal Palace,27,1992,27,1428,15.9,15
Tom Davies\Tom-Davies,eng ENG,MF,Everton,22,1998,25,1423,15.8,17
Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Newcastle Utd,28,1992,22,1422,15.8,17
Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,West Ham,27,1992,16,1421,15.8,16
Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,22,1997,22,1412,15.7,15
Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,27,1992,30,1411,15.7,14
Willian\Willian,br BRA,FWMF,Arsenal,31,1988,25,1406,15.6,16
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19,2001,21,1404,15.6,16
Aleksandar Mitrović\Aleksandar-Mitrovic,rs SRB,FW,Fulham,25,1994,27,1402,15.6,13
David Luiz\David-Luiz,br BRA,DF,Arsenal,33,1987,20,1396,15.5,17
Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,24,1995,30,1391,15.5,14
Issa Diop\Issa-Diop,fr FRA,DF,West Ham,23,1997,18,1381,15.3,15
Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33,1987,26,1375,15.3,13
Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24,1996,17,1371,15.2,15
Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,28,1992,28,1371,15.2,15
Fábio Silva\Fabio-Silva,pt POR,FW,Wolves,18,2002,32,1369,15.2,11
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,29,1990,22,1363,15.1,16
Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31,1989,16,1350,15.0,15
Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33,1987,15,1350,15.0,15
Matt Ritchie\Matt-Ritchie,sct SCO,DFMF,Newcastle Utd,30,1989,18,1350,15.0,15
